品牌,型号,颜色,系统,价格,月成交纪录,累计评价,手机类型,电池类型,核心数,电池容量,机身款式,键盘类型,厚度,后置摄像头,摄像头类型,视频显示格式,机身内存,运行内存,尺寸,触屏类型,分辨率,收藏人气,字段25
 ZTE/中兴, 白色, Android/安卓, 智能手机 3G手机 老人手机,295.00,40,, 可拆卸式电池, 双核, 1650mAh,, 电容屏, 9mm(含)-10mm(含),, 单摄像头, 720P(逐行高清D4),, 4GB, 512MB, 5.0英寸, 电容式, 854x480,（72人气）,
 YEPEN/誉品, P690, 黑色 红色 白色 黄色 蓝色, 无操作系统,268.00,461,, 老人手机, 可拆卸式电池, 无, 1250mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 480P(逐行标清D2), 无, 无, 2.0英寸, 非触摸屏, 320x240,（875人气）,
 Lenovo/联想, 黑色, Android/安卓, 智能手机 3G手机 商务手机,209.00,39,, 可拆卸式电池, 四核, 1500mAh,, 虚拟触屏键盘, 1CM以上,, 单摄像头, 480P(逐行标清D2),, 4GB, 512MB, 4.0英寸, 电容式, 800x480,（88人气）,
 UniscopE/优思, U&nbsp;W2014G, 咖啡色 黑色, 无操作系统,299.00,9,, 拍照手机 音乐手机 时尚手机 商务手机 老人手机, 可拆卸式电池, 无, 3000mAh, 翻盖, 12键标准键盘, 1CM以上, 30万, 单摄像头, 支持MP4视频播放, 32MB, 32MB, 2.8英寸, 电容式, 320x240,（14人气）,
 几米, jm88, 红色 黑色, 无操作系统,118.00,447,, 老人手机, 可拆卸式电池, 主频312M, 1000mAh, 直板, 12键标准键盘, 1CM以上, 无摄像头, 无摄像头, 不支持, 32MB, 16MB, 1.77英寸, 非触摸屏, 128x160,（188人气）,
 Lingwin/聆韵, U870, 粉色 白色 铁灰色, 无操作系统,316.00,275,, 时尚手机 女性手机 老人手机, 可拆卸式电池, 无, 1150mAh, 直板, 12键标准键盘, 9mm(含)-10mm(含), 30万, 单摄像头, 支持3GP, 无, 无, 2.4英寸, 非触摸屏, 320x240,（315人气）,
 Haier/海尔, HG-M500, 珠光白 柑桔红 苹果绿 宝石蓝, 无操作系统,399.00,269,, 时尚手机 商务手机 老人手机, 可拆卸式电池, 无, 1000mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 360P(逐行标清), 无, 无, 2.4英寸, 非触摸屏, 320x240,（100人气）,
 GREAT, G636, 中国红 土豪金 高贵黑, 无操作系统,399.00,14,, 老人手机, 可拆卸式电池, 无, 2800mAh, 直板, 12键标准键盘, 9mm(含)-10mm(含), 30万, 单摄像头, 无, 无, 无, 1.8英寸, 非触摸屏, 176X220,（16人气）,
 Daxian/大显, 107, 白色 红色 黑色, 无操作系统,169.00,167,, 老人手机, 可拆卸式电池, 无, 3800mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 480I(隔行标清D1), 64MB, 32MB, 2.8英寸, 电阻式触摸屏, 320x240,（828人气）,
 YEPEN/誉品, X-M4, 白色, Android/安卓,999.00,24,, 拍照手机 音乐手机 时尚手机 智能手机 商务手机 女性手机, 不可拆卸式电池, 四核, 2100mAh, 直板, QWERTY全键盘, 9mm(含)-10mm(含), 1300万, 双摄像头（前后）, 720P(逐行高清D4), 16GB, 1GB, 5.0英寸, 电容式, 1280x720,（398人气）,
 Daxian/大显, DX528, 红色 黑色, 春晖OS,499.00,45,, 拍照手机 时尚手机 老人手机, 可拆卸式电池, 无, 1200mAh, 直板, 虚拟触屏键盘, 1CM以上, 130万, 单摄像头, 480P(逐行标清D2), 128MB, 128MB, 3.5英寸, 电容式, 480X320,（1189人气）,
 Coolpad/酷派, 1606+, 武士黑, 无操作系统,198.00,26,, 拍照手机 3G手机 儿童手机 老人手机, 可拆卸式电池, 无, 1000mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 其它视频拍摄, 128MB, 64MB, 2.4英寸, 非触摸屏, 320x240,（684人气）,
 Fadar/锋达通, C868, 黑色 白色 红色 金色, 无操作系统,259.00,964,, 老人手机, 可拆卸式电池, 无, 3000mah, 直板, 12键标准键盘, 1CM以上, 8万, 单摄像头, 不支持, 16MB, 8MB, 2.4英寸, 非触摸屏, 320x240,（2298人气）,
 Malata/万利达, G800, 黑色, 无操作系统,299.00,25,, 拍照手机 音乐手机 时尚手机 商务手机 女性手机 老人手机, 可拆卸式电池, 无, 1200mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 360P(逐行标清), 256MB, 无, 2.31英寸, 非触摸屏, 320x240,（86人气）,
 乐目, LM129, 白色 黑色 橙色 迷彩, 无操作系统,380.00,28,, 三防手机, 可拆卸式电池, 无, 1700mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 3GP/&nbsp;MP4, 32MB, 64MB, 2.0英寸, 非触摸屏, 220X176,（962人气）,
 OUKI/欧奇, ok&nbsp;v7, 红色 兰色 粉色 白色 黄色, 无操作系统,299.00,36,, 拍照手机 音乐手机 时尚手机 儿童手机 女性手机 老人手机, 可拆卸式电池, 无, 1000mAh, 翻盖, 12键标准键盘, 1CM以上, 8万, 单摄像头, 480P(逐行标清D2), 16MB, 78MHz, 2.4英寸, 非触摸屏, 240x320,（10049人气）,
 Coolpad/酷派, S160, 灰色, 无操作系统,299.00,22,, 老人手机, 可拆卸式电池, 无, 1000mAh, 直板, 12键标准键盘, 1CM以上, 无摄像头, 无摄像头, 360P(逐行标清), 128MB, 无, 2.4英寸, 非触摸屏, 128x128,（124人气）,
 YEPEN/誉品, P610, 白色 黑色 红色, 无操作系统,88.00,37,, 拍照手机 老人手机, 锂电池, 无, 1000mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 480P(逐行标清D2), 无, 无, 1.7英寸, 非触摸屏, 320x240,（65人气）,
 BROR, D508, 金色 咖啡色 黑色, Nucleus,599.00,50,, 老人手机, 可拆卸式电池, 单核心, 无,, 直板, 12键标准键盘,, 30万, 单摄像头, 128MB, 32MB, 2.8英寸, 非触摸屏, 240x320,（139人气）,
 易百年, EZ618, 红色 黑色, 无操作系统,599.00,67,, 老人手机, 可拆卸式电池, 单核心, 1GHz,, 直板, 12键标准键盘,, 30万, 单摄像头, 128MB, 64MB, 2.4英寸, 非触摸屏, 240x320,（554人气）,
 易百年, EZ605C, 黑色, 无操作系统,299.00,48,, 音乐手机 时尚手机 3G手机 儿童手机 商务手机 女性手机 老人手机, 可拆卸式电池, 无, 1000mAh, 直板, 12键标准键盘, 1CM以上, 无摄像头, 无摄像头, 360P(逐行标清), 32MB, 32MB, 2.0英寸, 非触摸屏, 128x160,（79人气）,
 几米, JM98, 黑色 红色, 无操作系统,199.00,55,, 老人手机, 可拆卸式电池, 无, 1000mAh, 直板, 16键标准按键, 14.5mm, 无摄像头, 无摄像头, 无, 32MB, 16MB, 1.77寸, 无, 128*160,（176人气）,
 UMO/优摩, T36, 橙色 军绿 黑色, 无操作系统,599.00,57,, 三防手机, 可拆卸式电池, 无, 2800mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 360P(逐行标清), 64MB, 64MB, 2.0英寸, 非触摸屏, 170X220,（1155人气）,
 Changhong/长虹, 008-3M, 钢琴黑+冠军金, 无操作系统,308.00,34,, 拍照手机 音乐手机 时尚手机 商务手机 老人手机, 可拆卸式电池, 无, 3000mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 360P(逐行标清), 无, 无, 2.4英寸, 电阻式触摸屏, 320x240,（558人气）,
 SOSMART, 383, 珍珠白 睿智黑, 无操作系统,720.00,32,, 拍照手机 老人手机, 可拆卸式电池, 无, 1400mAh, 直板, 虚拟触屏键盘, 1CM以上, 130万, 单摄像头, 480P(逐行标清D2), 无, 64MB, 3.5英寸, 电容式, 480X320,（3148人气）,
 无操作系统,, 直板, 12键标准键盘,99.00,30,, 1CM以上,, 无摄像头,,,,,,,, OT-209, Alcatel/阿尔卡特, 其他, 非触摸屏,,（1580人气）,
 F－FOOK/福中福, F633K, 红色 金色 黑色, 无操作系统,300.00,988,, 拍照手机 时尚手机 商务手机 老人手机, 可拆卸式电池, 无, 4000mAh, 翻盖, 12键标准键盘, 1CM以上, 130万, 单摄像头, 360P(逐行标清), 无, 无, 2.8英寸, 非触摸屏, 120X160,（4184人气）,
 F－FOOK/福中福, F611+, 金色 黑金色, 无操作系统,489.00,685,, 拍照手机 三防手机 商务手机 老人手机, 可拆卸式电池, 无, 3000mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 240p, 无, 384KB, 2.8英寸, 非触摸屏, 320x240,（4343人气）,
 F－FOOK/福中福, F699E, 红色 白色 黑色, 无操作系统,600.00,44,, 商务手机 老人手机, 可拆卸式电池, 无, 3000mAh, 直板, 12键标准键盘, 1CM以上, 200万, 单摄像头, 360P(逐行标清), 无, 无, 3.0英寸, 电阻式触摸屏, 480x360,（1927人气）,
 Fadar/锋达通, E838, 黑 玖红 香槟金 宝石蓝 紫, 无操作系统,259.00,20,, 时尚手机 商务手机 老人手机, 不可拆卸式电池, 无, 4000mAh, 直板, 12键标准键盘, 1CM以上, 无摄像头, 无摄像头, 不支持, 128MB, 32MB, 1.8英寸, 非触摸屏, 128x160,,
 Fadar/锋达通, C100, 红色 黑色 咖啡色 白色, 无操作系统,329.00,20,, 老人手机, 可拆卸式电池, 无, 1200mAh, 直板, 12键标准键盘, 1CM以上, 无摄像头, 无摄像头, 不支持, 128MB, 32MB, 1.77英寸, 非触摸屏, 160X128,（655人气）,
 ZTE/中兴, N798, 黑色, Android/安卓,400.00,15,, 智能手机 3G手机, 可拆卸式电池, 双核心, 1GHz,, 直板, 虚拟触屏键盘,, 320万, 单摄像头, 4GB, 512MB, 4.0英寸, 电容式, 800x480,（242人气）,
 Daxian/大显, V998, 白色 黑色 红色 锖色, Android/安卓,1598.00,20,, 拍照手机 音乐手机 时尚手机 智能手机 商务手机 老人手机, 可拆卸式电池, 双核心, 1GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 512MB, 4.0英寸, 电容式, 800x480,（9659人气）,
 DOOV/朵唯, T35, 浅草绿 云帆白, Android/安卓,1399.00,22,, 拍照手机 音乐手机 时尚手机 3G手机 4G手机 女性手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 4.7英寸, 电容式, 1280x720,（145人气）,
 BROR, E608, 红色 金色 白色 黑色, Nucleus,899.00,25,, 翻盖手机 老人手机, 可拆卸式电池, 无, 2000mAh, 翻盖, 12键标准键盘, 17.8mm, 30万, 单摄像头, 240p, 128MB, 32MB, 2.4英寸, 非触摸屏, 240x320,（79人气）,
 K-Touch/天语, T60, 黑色 白色, Android/安卓,178.00,22,, 拍照手机, 可拆卸式电池, 双核心, 1.3GHz,, 直板, 虚拟触屏键盘,, 200万, 单摄像头, 512MB, 256MB, 4.0英寸, 电容式, 800x480,（236人气）,
 几米, M99, 红色 黑色, 无操作系统,299.00,23,, 拍照手机 时尚手机 老人手机, 可拆卸式电池, 无, 1000mAh, 翻盖, 12键标准键盘, 1CM以上, 8万, 单摄像头, 不支持, 32MB, 32MB, 2.4英寸, 非触摸屏, 320x240,（57人气）,
 Asus/华硕, 白钻 粉钻 蓝钻, Android/安卓, 拍照手机 三防手机 音乐手机 时尚手机 智能手机 电视手机 4G手机 商务手机,1699.00,10,, 不可拆卸式电池, 四核, 3000mAh,, 虚拟触屏键盘, 9mm(含)-10mm(含),, 双摄像头（前后）, 1080I(隔行高清D3),, 16GB, 4GB, 5.5, 电容式, 1920*1080,（121人气）,
 BROR, C16, 橙色 黑色 绿色, Nucleus,519.00,25,, 三防手机 老人手机, 可拆卸式电池, 无, 7200mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 360P以下, 32MB, 8MB, 2.0, 非触摸屏, 320x240,,
 TCL, 雅致黑, Android/安卓, 智能手机,258.00,12,, 不可拆卸式电池, 四核, 1600mAh,, 虚拟触屏键盘, 1CM以上,, 双摄像头（前后）, 1080P(全高清D5),, 4GB, 512MB, 4.5英寸, 电容式, 854x480,（13人气）,
 GREAT, G626, 土豪金 黑色 红色 白色, 无操作系统,499.00,25,, 老人手机, 可拆卸式电池, 单核心, 无,, 直板, 12键标准键盘,, 无摄像头, 无摄像头, 无, 无, 1.8英寸, 非触摸屏, 160X128,（343人气）,
 Green&nbsp;Orange/青橙, N2, 猎户银 时光金, Android/安卓,1999.00,12,, 时尚手机 智能手机 4G手机 商务手机, 不可拆卸式电池, 四核, 2850mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 5.5英寸, 电容式, 1920x1080,（740人气）,
 Asus/华硕, Zenfone5&nbsp;T00P&nbsp;A500KL, 黑色 白色 红色 金色 紫色, Android/安卓,1499.00,14,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 4G手机 商务手机 女性手机 老人手机, 不可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 2GB, 5.0英寸, 电容式, 1280x720,（3300人气）,
 OPPO, N5207, 白色, Android/安卓,3999.00,9,, 拍照手机 音乐手机 智能手机 4G手机, 不可拆卸式电池, 四核心, 2.3GHz,, 直板, 虚拟触屏键盘,, 1600万, 206°旋转摄像头, 32GB, 2GB, 5.5英寸, 电容式, 1920x1080,（5695人气）,
 Huawei/华为, 荣耀畅玩版, 白色 黑色, Android/安卓,1200.00,17,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机 女性手机, 可拆卸式电池, 八核&nbsp;1.4GHz, 3000mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头(前后), 1080P(全高清D5), 8GB, 2GB, 5.5英寸, 电容式, 1280x720,（322人气）,
 Coolpad/酷派, 7296, 曜石黑 智尚白, Android/安卓,499.00,10,, 智能手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 1GB, 5.5英寸, 电容式, 960x540,（56人气）,
 G’FIVE/基伍, G9, 白色 黑色, 阿里巴巴YunOS,499.00,13,, 智能手机 3G手机, 可拆卸式电池, 四核, 2500mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 1300万, 双摄像头（前后）, 720P(逐行高清D4), 4GB, 1GB, 5.7英寸, 电容式, 1280x720,（41人气）,
 Lenovo/联想, A516, 融雪白, Android/安卓,699.00,24,, 拍照手机 音乐手机 智能手机 3G手机 女性手机, 可拆卸式电池, 双核心, 1.3GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 512MB, 4.5英寸, 电容式, 854x480,（1714人气）,
 Coolpad/酷派, 8017, 炫动黑, Android/安卓,399.00,13,, 拍照手机 时尚手机 智能手机 4G手机 商务手机 女性手机 老人手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 200万, 单摄像头, 4GB, 512MB, 4.0英寸, 电容式, 800x480,（29人气）,
 EPHONE/易丰, E29C, 黑色 红色, 无操作系统,199.00,19,, 儿童手机 老人手机, 可拆卸式电池, 无, 1600mAh, 直板, 12键标准键盘, 1CM以上, 无摄像头, 无摄像头, 不支持视频, 64MB, 32MB, 1.8英寸, 非触摸屏, 128x160,（6人气）,
 Coolpad/酷派, 8295C, 灵锐白, Android/安卓,429.00,15,, 智能手机 3G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 单摄像头, 4GB, 512MB, 5.0英寸, 电容式, 480x854,（277人气）,
 F－FOOK/福中福, F688, 红色 黑色, 无操作系统,399.00,18,, 老人手机, 可拆卸式电池, 无, 1000mAh, 直板, 12键标准键盘, 1CM以上, 130万, 单摄像头, 480P(逐行标清D2), 无, 384KB, 2.5英寸, 非触摸屏, 128x160,（22人气）,
 DOOV/朵唯, L1, 梦幻粉 倾心白, Android/安卓,1999.00,16,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 四核心, 1.5GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 16GB, 2GB, 5.5, 电容式, 1280x720,（662人气）,
 ZTE/中兴, N881E, 黑色, Android/安卓,169.00,13,, 拍照手机 时尚手机 智能手机 3G手机 商务手机, 可拆卸式电池, 双核心, 1600mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 500万, 单摄像头, 360P(逐行标清), 4GB, 512MB, 4.0英寸, 电容式, 800x480,（292人气）,
 PHICOMM/斐讯, i803w, 白色, Android/安卓,1200.00,22,, 拍照手机 智能手机 3G手机 商务手机, 可拆卸式电池, 双核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 768MB, 4.7英寸, 电容式, 960x540,（126人气）,
 koobee/酷比, S3, 钛古金 玉瓷白, dido&nbsp;OS&nbsp;5.0,1299.00,29,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机, 可拆卸式电池, 四核, 2000mAh, 直板, 虚拟触屏键盘, 9mm以下, 800万, 双摄像头（前后）, 1080P(全高清D5), 8GB, 1GB, 5.0英寸, 电容式, 1280x720,（1606人气）,
 TCL, 月光白, Android/安卓, 智能手机 4G手机,399.00,18,, 可拆卸式电池, 四核心, 1.2GHz, 2000mAh, 直板, 虚拟触屏键盘, 9.8mm, 500万, 双摄像头（前后）, 1080P(全高清D5), 4GB, 512MB, 5.0英寸, 电容式, 480x854,（72人气）,
 TCL, 月光白, Android/安卓, 智能手机 4G手机,699.00,28,, 可拆卸式电池, 四核心, 1.2GHz, 2000mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 500万, 双摄像头（前后）, 1080P(全高清D5), 8GB, 1GB, 5.0英寸, 电容式, 480x854,（35人气）,
 Coolpad/酷派, 8705, 雅士黑 智尚白, Android/安卓,880.00,28,, 时尚手机 智能手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 1GB, 4.7英寸, 电容式, 854x480,（171人气）,
 Huawei/华为, G7-TL00, 银色 灰色, Android/安卓,2399.00,23,, 商务手机, 不可拆卸式电池, 四核心, 1.2GHz,, 直板, QWERTY全键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（348人气）,
